PERIOD,EIND,ECO2,CO2PPM,TATM,Y,DAMFRAC,CPC,CPRICE,MIUopt,RSHORT,ECO2E,L,AL,YGROSS,K,Sopt,I,YNET,CCATOT,CACC,RES0,RES1,RES2,RES3,DAMAGES,ABATECOST,MCABATE,C,PERIODU,TOTPERIODU,MAT,FORC,TBOX1,TBOX2,F_GHGABATE,IRFT,ALPHA,RFACTLONG,RLONG,SCC,ABATERAT,ATFRAC2020,ATFRAC1765,FORC_CO2,RR,YEAR,ramp_case,damage_key,damage_name,MIU_BOUND,MIU_SLACK
1,37.336200100524344,43.23620010052434,416.2031931455399,1.24715,132.76208581410728,0.0157404771997,12.871574234829078,5.760332870050511,0.05,0.0,52.698200100524346,7752.9,24.492762694442995,134.89143646541942,295.0,0.24833940900164392,32.970057928900935,132.7681808853007,633.5,334.98719860000006,150.093,102.698,39.534,6.1865,2.123255580118715,0.006095071193412287,5.760332870050511,99.79202788520635,1.7254022384519527,13376.871014494143,886.5128014,2.791838464297747,0.1477,1.099454,0.518,43.959136523400005,0.4471535905391101,1000000.0,0.0,0.0,4.590972758552898e-05,1.0,1.507674832312925,2.327838464297747,1.0,2020,standard_dice2023,hs_high,Howard-Sterner High,0.05,0.0
2,37.894345625381106,43.20434562538111,430.0651703663082,1.4249085572083096,152.53132030242827,0.02054728769162332,14.094427075434153,16.610429012691608,0.09999999999981579,0.025774349542850357,52.479970625383004,8137.367350850203,27.127184199296615,155.76929630251797,339.0448396445047,0.2480788176148035,37.83978958985128,152.56865975786843,692.4096613381254,364.3708484578889,162.89254087884058,113.2195996364775,44.85625704537988,7.070415319538644,3.2006365446495533,0.03733945544014779,16.610429012691608,114.69153071257699,1.8287623469049157,13081.96263866541,916.0388128802365,3.014116526874113,0.16507616512954026,1.2598323920787693,0.5345802187500182,45.25779026147249,0.5119061743997878,879086.7031950536,0.025774349542850357,134.83798489233354,0.0002447986116301476,1.0333057925769469,1.5578891375514226,2.5135988081240948,0.8790867031950537,2025,standard_dice2023,hs_high,Howard-Sterner High,0.1,1.842137553609291e-13
3,34.1918532645143,38.970853264514304,441.6433157534184,1.544061602185442,174.18412327691908,0.024127357461195962,15.450208095894736,64.12156479699811,0.23999999999989519,0.042566994144839804,47.06675326451542,8481.17060833459,29.88194823638656,178.86616969416906,389.40153531094006,0.2477164489484848,43.148272481363506,174.5506016802429,745.5469033131926,392.84664075841147,174.43778047797753,122.49436409675008,48.59673996837779,7.171378011675817,4.3155680139261525,0.36647840332382314,64.12156479699811,131.03585079555558,1.9338365167110432,12703.377010248798,940.7002625547811,3.1876858944658677,0.18326698165706773,1.3607946205283743,0.5375894133437763,46.29510274751219,0.5686305944244541,710556.5672928564,0.034170671843845084,157.52666520910256,0.0021039713403798194,1.0611242850291696,1.5998303784945258,2.6642214811220915,0.7745396070563381,2030,standard_dice2023,hs_high,Howard-Sterner High,0.24,1.0480505352461478e-13
4,30.67683835449162,34.97793835449162,451.42032167699784,1.6348584011705758,197.625790899361,0.027048351357805474,16.926500066976338,116.69047362166832,0.3599999999999443,0.042321560352256586,42.01713835449223,8786.618184800645,32.76133144425404,204.20586754034704,445.67907499257456,0.24743277374529904,48.89909760583737,198.68243548579025,793.2397562645039,419.71447109249846,184.7999909263528,130.5934151708276,51.0693484138495,7.062530660975409,5.523432054556791,1.0566445864292666,116.69047362166832,148.72669329352362,2.038720393527929,12252.240509609928,961.5252851720054,3.324270305851209,0.20200416229660012,1.4328542388739756,0.5300888448889972,47.18376019163292,0.6208750239603102,575040.6642792363,0.03688763467998225,182.43001058741763,0.00534669377726793,1.0846152290790885,1.6352470836258595,2.7883689609622118,0.6839684848167449,2035,standard_dice2023,hs_high,Howard-Sterner High,0.36,5.56776846849516e-14
5,26.481954566293325,30.352944566293324,459.1424555707613,1.7057026907604418,222.78437936645506,0.029443347292986203,18.524191161449863,175.88251091998742,0.4799999999999951,0.041758697403384205,36.25234456629338,9056.484468787621,35.77082342901956,231.847267884951,507.66452502155227,0.24696673066754496,55.02032981593147,225.02090825768437,834.6263727988553,444.65294243313383,193.79188769756684,137.3248833646229,52.18830131287546,6.668357990656334,6.826359627266619,2.236528891229321,175.88251091998742,167.7640495505236,2.1428562816736445,11747.95070333682,977.9734303657215,3.42303368909926,0.22101936525642377,1.484683325504018,0.5127457654494271,47.952657613246785,0.6688894406618411,466681.6211603854,0.03810540036083275,209.6969713941436,0.010038984320128137,1.103168988446963,1.6632201196695944,2.884537923649833,0.6053540109381833,2040,standard_dice2023,hs_high,Howard-Sterner High,0.48,4.884981308350689e-15
6,22.411983522726366,25.895874522726366,465.00536938596355,1.7607897581695942,249.87784182271085,0.031375851393446376,20.26009614461601,229.3944539379204,0.584673083018796,0.04110526292392256,30.75156534088287,9293.783346442808,38.91697193191157,261.82462822476725,574.8724744596338,0.24646001913304152,61.58489767654844,253.60965759844262,869.9357190256434,467.4742822335411,201.4632217023303,142.7422955058332,52.13852713196822,6.117392451970515,8.214970626324643,3.7318157757317856,229.3944539379204,188.29294414616243,2.2467406653877857,11212.680634997583,990.4614367921023,3.4900121274753415,0.24009087244407945,1.5206988857255148,0.4878459513653513,48.61570070521364,0.7124638951433003,379980.88816229085,0.03870537287345071,239.58643127118611,0.014934560617741854,1.117255650711354,1.6844582258369087,2.95647867610999,0.5369872355398027,2045,standard_dice2023,hs_high,Howard-Sterner High,0.6,0.01532691698120403
7,19.863547954566993,22.999049854566994,469.9020201654369,1.8063952247509634,279.61053032336997,0.033022204724991205,22.165420160400082,259.6655520424896,0.6518226439808399,0.040535196038478674,27.190234777647635,9501.598424748781,42.20724423002605,294.26253311564204,647.3809358264115,0.2467847293290953,69.00360904341765,284.5453355042028,901.2952088737031,488.4039059213226,208.27627817044396,147.3243638262854,51.56834018912684,5.72232076652443,9.717197611439236,4.934805180832817,259.6655520424896,210.6069212799523,2.3514468258003185,10666.743992182246,1000.8913029523806,3.5415573548056627,0.25911267804298654,1.5472825467079767,0.46006118014098757,49.20331032359289,0.7528235063109779,310270.6487146406,0.03901034340095536,272.54987086346256,0.017648853121253007,1.1290206992744511,1.7021960934564295,3.0158711746646754,0.47741937304537674,2050,standard_dice2023,hs_high,Howard-Sterner High,0.72,0.06817735601916008
8,17.791680832811828,20.61363254281183,474.0171365656491,1.8456301260635772,311.91690638305664,0.03447226768980258,24.241579541287273,292.7242044503371,0.7047162704638059,0.040140872334675434,24.270352428455674,9682.961394142814,45.64990703393735,329.5734246198469,727.2900140132261,0.24745894169948884,77.18662755172973,318.21228130290655,929.4021526190152,507.7456517341826,214.38258078534955,151.22701098640457,50.66042216279563,5.3864869502827455,11.361143316940334,6.295374919849878,292.7242044503371,234.73027883132693,2.45622081426059,10117.974761390273,1009.6565008848326,3.5819044624347605,0.2780097640919611,1.5676203619716162,0.431034351009289,49.73421685800427,0.7907491086172047,253849.2572072244,0.03917184753434395,308.6969225333162,0.02018285893140624,1.1389079766139434,1.71710289266128,3.0653076114254714,0.4254200792165602,2055,standard_dice2023,hs_high,Howard-Sterner High,0.84,0.13528372953619405
9,15.274105479687101,17.813862018687104,477.0643661420993,1.8782110708061397,346.8969045408432,0.03570008948416731,26.49719511068165,328.5425816672817,0.7598093145327213,0.03962313743784361,20.87148944468556,9840.769455788895,49.253925143005034,368.00232206910755,815.3906181333186,0.24832771669032247,86.14411623156835,354.8646062408591,953.6915745152343,525.5444746325628,219.6593581826317,154.32246156262468,49.24374204279297,4.921538094622212,13.137715828248497,7.967701700015877,328.5425816672817,260.7527883092748,2.560797729097597,9574.64028896174,1016.1470998826715,3.6074602539285534,0.2966842795612419,1.5815267912448978,0.4003209181372831,50.20809412792626,0.8258148600112103,208226.1873584471,0.03922825877228141,348.1184618521377,0.022968500426840132,1.1462294715631294,1.7281413263310739,3.1016393357912704,0.37994272512233224,2060,standard_dice2023,hs_high,Howard-Sterner High,0.9,0.14019068546727875
10,12.267087894246346,14.552868779346348,478.8096163039183,1.9030560128508398,384.73942097125513,0.03665081654304309,28.94516876995198,367.2450494675889,0.8171268127793289,0.039063058734106246,16.94416429374065,9977.733279871927,53.028877889485706,409.7694167917237,912.2005872593852,0.24934343094247946,95.93224724379569,394.75103307194047,973.5345916673291,541.6701089399832,223.96995182599463,156.468779662138,47.154714429154154,4.271036810059127,15.018383719783227,10.011612100685356,367.2450494675889,288.8071737274594,2.665124847570548,9043.785801054779,1019.864482727346,3.6152940353776577,0.31502051886605204,1.5880354939847878,0.3675131826786663,50.61796036338343,0.8570998250282651,171281.71111954175,0.039209903212484166,390.96057102714093,0.02602179957388185,1.1504227362726789,1.7344634059988877,3.1223433526989917,0.3400954478295329,2065,standard_dice2023,hs_high,Howard-Sterner High,0.95,0.1328731872206711
