PERIOD,EIND,ECO2,CO2PPM,TATM,Y,DAMFRAC,CPC,CPRICE,MIUopt,RSHORT,ECO2E,L,AL,YGROSS,K,Sopt,I,YNET,CCATOT,CACC,RES0,RES1,RES2,RES3,DAMAGES,ABATECOST,MCABATE,C,PERIODU,TOTPERIODU,MAT,FORC,TBOX1,TBOX2,F_GHGABATE,IRFT,ALPHA,RFACTLONG,RLONG,SCC,ABATERAT,ATFRAC2020,ATFRAC1765,FORC_CO2,RR,YEAR,ramp_case,damage_key,damage_name,MIU_BOUND,MIU_SLACK
1,37.336200100524344,43.23620010052434,416.2031931455399,1.24715,134.3618402008726,0.0038809075436573304,12.868089586500874,5.760332870050511,0.05,0.0,52.698200100524346,7752.9,24.492762694442995,134.89143646541942,295.0,0.25748998669538375,34.596828445689965,134.367935272066,633.5,334.98719860000006,150.093,102.698,39.534,6.1865,0.5235011933534197,0.006095071193412287,5.760332870050511,99.76501175518263,1.7250945829211148,13374.48579192911,886.5128014,2.791838464297747,0.1477,1.099454,0.518,43.959136523400005,0.4471535905391101,1000000.0,0.0,0.0,4.536311190960232e-05,1.0,1.507674832312925,2.327838464297747,1.0,2020,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.05,0.0
2,38.16481742868067,43.47481742868067,430.2063170271936,1.4255001820568654,156.04854246332118,0.0050672449011684995,14.297073472122937,16.610429012740564,0.1,0.025774349542850357,52.75044242868067,8137.367350850203,27.127184199296615,156.8811034013228,347.1786922284499,0.25445930446863807,39.70800357856144,156.08614843002277,692.7784529979284,364.438997730006,162.97267950463544,113.30221338605325,44.95148552666987,7.113076850563886,0.7949549713000411,0.03760596670159237,16.610429012740564,116.34053888475975,1.8450626351335968,13198.565958920764,916.3394552679224,3.0159770375583594,0.16508880209287025,1.260411379963995,0.53458021875,45.26154921513695,0.5121036133046615,879086.7031950536,0.025774349542850357,37.926655903896325,0.0002409889006841032,1.0336449217888557,1.5584004341291198,2.5154593188083596,0.8790867031950537,2025,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.1,0.0
3,36.56206971272864,41.34106971272865,443.0204259089142,1.5512809667357326,179.4878516928801,0.005998120611438673,15.831256385774797,46.36208335594221,0.19596815835078482,0.04533076238423005,49.906018905896914,8481.17060833459,29.88194823638656,180.79094812805906,403.5455638667846,0.25194053477342604,45.22026534083759,179.7065422157306,749.1475145096937,393.51400732370644,175.22019603725013,123.30219976342987,49.52598685557666,7.585124529730579,1.084405912328451,0.21869052285050106,46.36208335594221,134.2675863520425,1.9617912715241141,12887.011865910474,943.6335071859872,3.209817069176788,0.1834296731008651,1.3678512936348675,0.5420688331385068,46.33785136560475,0.5710657597283824,700805.0315690296,0.03555255596354022,45.206299674548575,0.0012184140641713192,1.0644330298398186,1.6048188897720872,2.681873236038281,0.7745396070563381,2030,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.24,0.04403184164921517
4,37.656844860660705,41.9579448606607,456.34041853944046,1.662396147346119,205.00598783435586,0.006885090779643055,17.492770020275646,54.62435069606974,0.2240122684679085,0.044238352218876245,50.4928399228493,8786.618184800645,32.76133144425404,206.74102582738993,464.3909467118857,0.25025462530938136,51.30369667166632,205.31759509669183,806.3576929398282,422.3526014508201,187.65053000219393,133.5366207326132,54.39142368606444,8.426517068136636,1.423430730698109,0.31160726233596747,54.62435069606974,153.70229116268953,2.0766585950359033,12480.24037209886,972.0050914890081,3.4038725363226257,0.20270411752817719,1.4596920298179419,0.5482295131761554,47.34857938126216,0.6309444089719348,561739.3533581418,0.038447821381985554,53.43869297953279,0.0015199910286900745,1.096436610902851,1.6530698834847077,2.84983052314647,0.6839684848167449,2035,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.36,0.13598773153209148
5,38.44389039151742,42.31488039151742,469.8942256219758,1.7686917025454267,232.69076998251919,0.007790173928283739,19.29544054219602,63.975090157893355,0.255113765692349,0.04338195154561279,50.76561471973772,9056.484468787621,35.77082342901956,234.9593174303834,530.736693482233,0.24900821118972108,57.94191239370595,233.1289434815299,864.0545573951288,451.1798568203203,200.18666160343867,143.9262990771449,59.44363025411957,9.318109640105337,1.830373948853516,0.43817349901070934,63.975090157893355,174.74885758881322,2.190105830584044,12006.990647406583,1000.8747005748085,3.594257249369841,0.2228676318281563,1.5458240707172703,0.5527301236791737,48.339018220687784,0.6940313597235489,452201.64631868294,0.03968135392289236,62.762166065921406,0.0018830721091499547,1.1290019715386013,1.7021678581204225,3.015777125690667,0.6053540109381833,2040,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.48,0.22488623430765098
6,38.8920796323953,42.3759706323953,483.5316080103096,1.8723587372089903,262.69060450861014,0.008726023423353935,21.25232212896713,74.52712184060371,0.28956445370491196,0.04260324376535804,50.681850213017746,9293.783346442808,38.91697193191157,265.6175475828433,603.1042721028537,0.2481098521018524,65.17612703317747,263.2997626409816,921.8347191518717,479.91239408991237,212.7409338776554,154.3834118346613,64.58968725854967,10.208292091092922,2.317784941861719,0.6091581323714917,74.52712184060371,197.51447747543267,2.30238187768258,11490.366063145537,1029.9223250619593,3.77889386639085,0.2438625356832092,1.6284962015257811,0.5552217864827129,49.31670962818378,0.760806010689353,365443.6086171884,0.0402657318913855,73.30141016482155,0.0023189186134425508,1.1617681362699828,1.7515685800373457,3.1779845799081365,0.5369872355398027,2045,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.6,0.310435546295088
7,38.96106076157231,42.096562661572314,497.09506078737974,1.9733681679266464,295.16435416075257,0.009688218687908812,23.376812180004496,86.39636996449653,0.3276650848532554,0.041869300660507355,50.18979420265126,9501.598424748781,42.20724423002605,298.8985280596854,682.0076767999014,0.2474799932507795,73.04727237557373,296.00273375434915,979.2339046735138,508.42142519639503,225.21245961048086,164.80639153574444,69.72813535586418,11.065492975029356,2.8957943053362807,0.8383795935965672,86.39636996449653,222.11708178517884,2.4136574422430512,10948.946724521142,1058.8124794771188,3.955798361915485,0.26561888206132805,1.7077492858653183,0.5553363193789197,50.27908549814598,0.8311692514991124,296416.4758439068,0.04053299335290581,85.1681843905978,0.00284038225408468,1.1943566723515098,1.8007014957093856,3.334837042536565,0.47741937304537674,2050,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.72,0.39233491514674457
8,39.22923864590636,42.05119035590636,510.7536758165713,2.0726214416436695,330.3067046269003,0.010681937638862826,25.681870431724096,99.69725725194259,0.3594633842797637,0.041166540372476856,49.98343567083184,9682.961394142814,45.64990703393735,334.9967871313466,767.9550749514426,0.24713438620431208,81.63014470713802,331.41837234199016,1036.5712244934025,536.6658950041058,237.67058117629026,175.2690592931952,74.97333183111188,11.992357188699335,3.578414789356449,1.1116677150899057,99.69725725194259,248.67655991976227,2.524008529123274,10397.214471489151,1087.9053294892967,4.127983295704873,0.28808865218374985,1.7845327894599197,0.5538975137427882,51.22912030952389,0.9054612905072795,241273.89369377997,0.040623500069987384,98.48443273001457,0.003365562065552366,1.2271738521668873,1.8501791317845182,3.488523281962085,0.4254200792165602,2055,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.84,0.48053661572023626
9,39.22613117537358,41.765887714373584,524.3694910513569,2.1698432409588637,368.3014270957874,0.011701547306804727,28.181045656161107,114.54634272908737,0.3932765845266414,0.040479052493666526,49.48947679334944,9840.769455788895,49.253925143005034,374.14130383869986,861.6205157437676,0.2470211817745235,90.97825377044492,369.7632716724017,1093.5195306215367,564.6125146821464,250.04420862528667,185.69936947746396,80.24827432988822,12.915163506751266,4.378032166298147,1.4618445766143062,114.54634272908737,277.3231733253425,2.633489533385156,9846.429766943764,1116.9070159393902,4.2938566604569015,0.3112140206831713,1.8586292202756927,0.55066603503676,52.16503487755445,0.9837142301096237,197065.76668463924,0.04060544412294728,113.39660851538726,0.003969152626264767,1.259888198089804,1.8995017277880786,3.637690625420141,0.37994272512233224,2060,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.9,0.5067234154733586
10,38.92821686263499,41.21399774773499,537.8112882008146,2.264477258544264,409.3589423277116,0.012737821525577453,30.888644490195038,131.05934312134283,0.4291503632215575,0.03980305913857882,48.678570310659104,9977.733279871927,53.028877889485706,416.57277239209515,963.6695671937621,0.247118789325912,101.16028622775993,411.26654276494963,1149.7153279323288,592.1772840645938,262.2543536578815,196.01679774076672,85.46935555222782,13.79753691685881,5.306229627145506,1.9076004372380357,131.05934312134283,308.1986560999517,2.7421441886762454,9305.141821255203,1145.538043867735,4.452047259744612,0.33492906097694025,1.9295481975673239,0.5454101241425756,53.08291617906414,1.0657583595770699,161502.75775049065,0.040516290235795234,129.99934870429934,0.0046599701142253525,1.2921844355306285,1.9481939521560119,3.7811996356020363,0.3400954478295329,2065,standard_dice2023,dietz_stern,Dietz-Stern (2015),0.95,0.5208496367784425
