ramp_run_id,ramp_case,damage_key,damage_name,ecs_label,ecs_val,disc_label,disc_scenario,SCC_2030,SCC_2050,SCC_2100,MIU_2030,MIU_2050,MIU_2100,MIU_bound_2030,MIU_bound_2050,MIU_bound_2100,MIU_slack_2030,MIU_slack_2050,MIU_slack_2100,binding_2030,binding_2050,binding_2100,first_binding_year,T_2030,T_2050,T_2100,welfare,elapsed_s,status,timestamp
1,standard_dice2023,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.00252,default,9,60.93773960138784,113.1605811649813,385.83507592231666,0.23422302467269257,0.3876913593069324,0.8454261289126022,0.24,0.72,1.0,0.005776975327307421,0.3323086406930676,0.15457387108739784,near-binding,interior,interior,2025,1.5460781877752794,1.9352075104233086,2.5910988520917244,6658.2922877472265,10.4,ok,2026-08-07T14:49:11
2,standard_dice2023,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.00252,default,9,48.45339261623696,91.1390286180893,323.66112947765777,0.20425145531102087,0.3410802043858329,0.7649458947197451,0.24,0.72,1.0,0.03574854468897912,0.37891979561416705,0.23505410528025494,interior,interior,interior,2025,1.5501567360684543,1.9649741961549347,2.746768461921326,6680.943105401833,10.2,ok,2026-08-07T14:49:21
3,standard_dice2023,hs_low,Howard-Sterner Low,ecs_central,3.00252,default,9,48.45339261623696,91.1390286180893,323.66112947765777,0.20425145531102087,0.3410802043858329,0.7649458947197451,0.24,0.72,1.0,0.03574854468897912,0.37891979561416705,0.23505410528025494,interior,interior,interior,2025,1.5501567360684543,1.9649741961549347,2.746768461921326,6680.943105401833,10.2,ok,2026-08-07T14:49:31
4,standard_dice2023,hs_central,Howard-Sterner Central,ecs_central,3.00252,default,9,86.40139315869743,156.9255723328125,504.2788800471914,0.23999999999998678,0.4695534645628682,0.9802164794455828,0.24,0.72,1.0,1.3211653993039363e-14,0.2504465354371318,0.019783520554417233,binding,interior,interior,2025,1.544998309281252,1.8884972152335424,2.3233720149460626,6616.084178121751,9.7,ok,2026-08-07T14:49:41
5,standard_dice2023,hs_high,Howard-Sterner High,ecs_central,3.00252,default,9,157.52666520910256,272.54987086346256,821.1215313882103,0.23999999999989519,0.6518226439808399,0.9999999999999921,0.24,0.72,1.0,1.0480505352461478e-13,0.06817735601916008,7.882583474838611e-15,binding,interior,binding,2025,1.544061602185442,1.8063952247509634,1.9081849513279467,6512.1235495383535,9.0,ok,2026-08-07T14:49:50
6,standard_dice2023,weitzman,Weitzman (2012),ecs_central,3.00252,default,9,53.916612208167855,106.17991424433852,375.88270743417996,0.21776627295995593,0.3744928769369815,0.8417761643381195,0.24,0.72,1.0,0.02223372704004406,0.34550712306301845,0.15822383566188047,interior,interior,interior,2025,1.5483575254283692,1.947368849219279,2.6045784277735002,6681.9735238548565,10.2,ok,2026-08-07T14:50:00
7,standard_dice2023,dietz_stern,Dietz-Stern (2015),ecs_central,3.00252,default,9,45.206299674548575,85.1681843905978,305.5015522159956,0.19596815835078482,0.3276650848532554,0.7400048139228571,0.24,0.72,1.0,0.04403184164921517,0.39233491514674457,0.2599951860771429,interior,interior,interior,2025,1.5512809667357326,1.9733681679266464,2.7928934626758792,6686.636863338686,10.2,ok,2026-08-07T14:50:10
8,standard_dice2023,kahn,Kahn et al. (2021),ecs_central,3.00252,default,9,91.56991843990183,165.64683908116822,527.6424954713543,0.24,0.484831751124355,0.999999999999996,0.24,0.72,1.0,0.0,0.23516824887564497,3.9968028886505635e-15,binding,interior,binding,2025,1.5449326253963804,1.8798664521406407,2.2738947650102284,6607.937759407554,9.5,ok,2026-08-07T14:50:20
9,tighter_ramp_8pp,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.00252,default,9,60.93655541178227,113.15071453554809,385.78037926407757,0.20999999999999402,0.38766773344427363,0.8453763925784443,0.21000000000000002,0.53,1.0,5.995204332975845e-15,0.1423322665557264,0.15462360742155568,binding,interior,interior,2025,1.5450038291986596,1.934847571344213,2.590821277033325,6658.446564254118,10.2,ok,2026-08-07T14:50:30
10,tighter_ramp_8pp,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.00252,default,9,48.39699787764808,91.0612420614331,323.41178318922204,0.20409119777991802,0.34090490687446756,0.7646575810199416,0.21000000000000002,0.53,1.0,0.005908802220081999,0.18909509312553247,0.23534241898005837,near-binding,interior,interior,2025,1.5459415514103636,1.9615692906501088,2.744561697117801,6681.058596391429,10.3,ok,2026-08-07T14:50:40
