run_id,group,damage_key,damage_name,ecs_label,ecs_val,disc_label,disc_scenario,delay_label,SCC_2025,SCC_2030,SCC_2050,SCC_2075,SCC_2100,MIU_2025,MIU_2030,MIU_2050,MIU_2100,T_2030,T_2050,T_2100,T_peak,welfare,PV_consumption,peak_MIU_year,peak_MIU_val,year_MIU99,damfrac_2030,damfrac_2050,damfrac_2100,elapsed_s,status,timestamp
1,A,nordhaus_2023,Nordhaus DICE-2023,ecs_low,2.5,default,9,none,36.68748432899206,43.56246252648358,82.00180125239679,162.97966582420187,295.42296680407736,0.09999999999997747,0.19139317612037796,0.3200006647480498,0.7254255160192786,1.3269159521946168,1.655546276175782,2.336163711120438,2.4192902971206607,6688.082735687694,53967.19097036787,2140,1.1,2130,0.006104367508501691,0.009502469649363781,0.01892171028883591,6.8,ok,2026-07-28T20:52:35
2,A,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,default,9,none,51.31266316564275,60.9395708773385,113.17014871307417,219.59807266262814,385.8690440462328,0.1,0.2340468924642478,0.3876511656662103,0.8450306181342604,1.5460923646687055,1.9352326987724766,2.591178290938036,2.6073759241107,6658.293489200054,53904.05423937845,2140,1.1,2115,0.008287522347501176,0.01298435044964657,0.023278148511130824,3.2,ok,2026-07-28T20:52:38
3,A,nordhaus_2023,Nordhaus DICE-2023,ecs_high,4.5,default,9,none,110.20082232647894,130.36811100084938,230.55013762537408,419.50343171739854,704.6594325786285,0.1,0.24,0.5918558784086146,1.0,2.2204708639364,2.7352893021811395,3.0591874836109496,3.065949037094998,6562.171834310217,53607.27341880339,2120,1.1,2090,0.017094011803266133,0.025939426833494372,0.032446363483610526,3.0,ok,2026-07-28T20:52:41
4,A,nordhaus_2016,Nordhaus DICE-2016,ecs_low,2.5,default,9,none,28.915726155772585,34.41553389478458,65.42305593358545,131.86763894791386,243.29465102650133,0.09999999999999529,0.1663434262624869,0.2800811496197768,0.649520459634307,1.3297350285449823,1.6762357771025038,2.4478316956755304,2.617029000590379,6706.659069207342,54011.117158639376,2150,1.1,2140,0.004721081307192531,0.007502076235770621,0.015998319627644492,3.4,ok,2026-07-28T20:52:45
5,A,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.0025,default,9,none,40.66468919056178,48.4515996788879,91.13542550877544,180.08750346939348,323.5960073612703,0.09999999999997071,0.20425159300937967,0.34107769357694007,0.7649461149078569,1.5501477565234851,1.9649627020988494,2.7467543983944704,2.8137380596677812,6680.944146422393,53953.165891550525,2135,1.1,2125,0.0064158980390363,0.010309079383107763,0.020144241466015317,3.3,ok,2026-07-28T20:52:48
6,A,nordhaus_2016,Nordhaus DICE-2016,ecs_high,4.5,default,9,none,87.08416358524791,103.48545267850847,186.71452236103787,347.0135605885609,585.5330439847689,0.09999999999895974,0.23999999999958868,0.5223524809256024,1.0,2.220909464784363,2.7846212428489943,3.3048970716884876,3.312967219363856,6598.875240750096,53729.981713060806,2120,1.1,2095,0.013169611731552603,0.020703488294556094,0.029162660227395224,3.0,ok,2026-07-28T20:52:51
7,A,hs_low,Howard-Sterner Low,ecs_low,2.5,default,9,none,28.915726155772585,34.41553389478458,65.42305593358545,131.86763894791386,243.29465102650133,0.09999999999999529,0.1663434262624869,0.2800811496197768,0.649520459634307,1.3297350285449823,1.6762357771025038,2.4478316956755304,2.617029000590379,6706.659069207342,54011.117158639376,2150,1.1,2140,0.004721081307192531,0.007502076235770621,0.015998319627644492,3.4,ok,2026-07-28T20:52:54
8,A,hs_low,Howard-Sterner Low,ecs_central,3.0025,default,9,none,40.66468919056178,48.4515996788879,91.13542550877544,180.08750346939348,323.5960073612703,0.09999999999997071,0.20425159300937967,0.34107769357694007,0.7649461149078569,1.5501477565234851,1.9649627020988494,2.7467543983944704,2.8137380596677812,6680.944146422393,53953.165891550525,2135,1.1,2125,0.0064158980390363,0.010309079383107763,0.020144241466015317,3.3,ok,2026-07-28T20:52:58
9,A,hs_low,Howard-Sterner Low,ecs_high,4.5,default,9,none,87.08416358524791,103.48545267850847,186.71452236103787,347.0135605885609,585.5330439847689,0.09999999999895974,0.23999999999958868,0.5223524809256024,1.0,2.220909464784363,2.7846212428489943,3.3048970716884876,3.312967219363856,6598.875240750096,53729.981713060806,2120,1.1,2095,0.013169611731552603,0.020703488294556094,0.029162660227395224,3.0,ok,2026-07-28T20:53:01
10,A,hs_central,Howard-Sterner Central,ecs_low,2.5,default,9,none,52.263933210518225,61.770188872147344,114.17287344936874,220.99366929368045,387.6678252870209,0.09999999999999606,0.23584955681082,0.38934641428338146,0.8472685278091879,1.32189824708864,1.6191249991960617,2.1451462041830656,2.155857533314204,6653.61354875058,53891.386885411564,2140,1.1,2115,0.008999187124628499,0.01350106367956148,0.02369850902220322,3.3,ok,2026-07-28T20:53:04
11,A,hs_central,Howard-Sterner Central,ecs_central,3.0025,default,9,none,73.13717664467474,86.3986897380539,156.93119382336224,295.80703552408596,504.3079127618494,0.09999999999826355,0.23999999999955265,0.46954764592453235,0.9801955669726586,1.5449893850746392,1.8884899975165714,2.3233730242733595,2.323558925468963,6616.085711593572,53782.11311701569,2120,1.1,2105,0.012293009829965557,0.01836693152420872,0.027800020381093856,3.1,ok,2026-07-28T20:53:07
12,A,hs_central,Howard-Sterner Central,ecs_high,4.5,default,9,none,158.58032323565314,186.1915296161344,318.3874659358007,563.6158137916765,949.9301125882195,0.1,0.24,0.717534871989109,1.0,2.219525359487645,2.681493017490546,2.782778525625963,2.787041602673571,6492.051893390237,53357.23962560944,2120,1.1,2075,0.025370408030255115,0.03703058473468036,0.0398808600618278,2.9,ok,2026-07-28T20:53:10
13,A,hs_high,Howard-Sterner High,ecs_low,2.5,default,9,none,95.97350054131812,112.37443272372825,199.7160398599283,367.88317857018455,619.9702843076053,0.1,0.24,0.5412084010828038,1.0,1.3208344316937934,1.5505303217724593,1.7621665319421083,1.771792995492687,6569.90549458362,53627.011436115055,2120,1.1,2095,0.017655388390992406,0.024329940100806358,0.0314249365693244,3.1,ok,2026-07-28T20:53:13
14,A,hs_high,Howard-Sterner High,ecs_central,3.0025,default,9,none,134.83573446806176,157.52474253444979,272.53986585361554,487.79026204577525,821.094615452775,0.09999999999533958,0.23999999999712307,0.6518246422830457,0.9999999999997317,1.5440524593347142,1.8063831867240443,1.90817277967807,1.9239200783401667,6512.125934172982,53426.789863012935,2180,1.1,2080,0.024127071731437105,0.03302176459886665,0.036848168373895845,2.9,ok,2026-07-28T20:53:16
15,A,hs_high,Howard-Sterner High,ecs_high,4.5,default,9,none,313.18108232486355,362.34166665773637,600.8557685090717,1057.0786371821532,1780.8703983080084,0.1,0.24,0.72,1.0,2.2162905773432025,2.670536808471305,2.709845850903696,2.7157067395323047,6296.721982591889,52453.14475904708,2175,1.0999999999991896,2070,0.04970887250298909,0.07217348047544904,0.07431383710087897,2.7,ok,2026-07-28T20:53:19
16,A,weitzman,Weitzman (2012),ecs_low,2.5,default,9,none,30.038464002011906,36.06727434172224,71.24704125364697,149.60437305839528,276.6492177366745,0.09999999999999379,0.17093870504421468,0.29481415943682476,0.7046183054382973,1.3292389921626369,1.6704148449464395,2.3819630070113176,2.494620750601858,6709.3781241611505,54104.27841550375,2145,1.1,2135,0.0042374304147942965,0.006781446660573787,0.015103873626617914,3.5,ok,2026-07-28T20:53:22
17,A,weitzman,Weitzman (2012),ecs_central,3.0025,default,9,none,44.747078651683644,53.91175028977468,106.17780908086365,216.64896201414766,375.88220365636863,0.1,0.21776570557859215,0.37448643492852834,0.8417715400509711,1.5483486561256983,1.9473593381229934,2.6045744277196237,2.6282073062630973,6681.974655636763,54055.572031187345,2145,1.1,2120,0.005790405675273558,0.009426349910557796,0.01909166770304127,3.5,ok,2026-07-28T20:53:26
18,A,weitzman,Weitzman (2012),ecs_high,4.5,default,9,none,122.07097875473465,147.62837344681384,272.11290007295435,476.0473444524154,734.9742406568024,0.1,0.24,0.6600552619570501,1.0,2.220364101411787,2.7013996243658585,2.8891356202205483,2.8957172322771947,6585.10920622696,53806.06784870098,2140,1.1,2080,0.012721756002364026,0.021144558826148963,0.0258180856357485,3.0,ok,2026-07-28T20:53:29
19,A,dietz_stern,Dietz-Stern (2015),ecs_low,2.5,default,9,none,26.974983583103093,32.11608309220036,61.106934431497145,123.4316363347516,228.7785233009832,0.09999999999999938,0.1596582712110944,0.26906435010531515,0.6270429188925222,1.3304851105072464,1.6818476224521337,2.4795230236981274,2.679846096701548,6711.251537199154,54018.31914558823,2155,1.1,2140,0.004415698581163197,0.007046584137800016,0.015252569141944172,3.3,ok,2026-07-28T20:53:32
20,A,dietz_stern,Dietz-Stern (2015),ecs_central,3.0025,default,9,none,37.924008111164326,45.20215565080063,85.16074376363811,168.91006611953696,305.4843932128712,0.1,0.19596628721962533,0.3276616133122129,0.7399953245023181,1.5512722381599102,1.973357327317928,2.7928876156071487,2.8837881520287736,6686.637858950709,53961.744720341885,2145,1.1,2130,0.0059980533153449755,0.00968811276190995,0.019311647214059202,3.5,ok,2026-07-28T20:53:35
21,A,dietz_stern,Dietz-Stern (2015),ecs_high,4.5,default,9,none,80.68727296193141,95.94854990854576,173.7873380899662,325.1961332031007,552.0425603186417,0.1,0.24,0.5005034647890916,0.9999999999999704,2.2210236955264575,2.8021971870817,3.4015169941837486,3.4054526995083414,6608.485532849021,53756.16420939558,2125,1.1,2100,0.012256633656929972,0.019439343749208526,0.0285114485642467,3.2,ok,2026-07-28T20:53:39
22,A,kahn,Kahn et al. (2021),ecs_low,2.5,default,9,none,55.42200014478998,65.44628414215182,120.5651100929917,232.23028390224587,405.14814345572114,0.09999999999985147,0.24,0.4021676373504626,0.8692012057755395,1.3214060699946684,1.6127792738892108,2.1101132004757246,2.116320058262874,6647.021272931097,53874.955516766735,2125,1.1,2115,0.00960362701000315,0.014305813424576354,0.02448917745352048,3.2,ok,2026-07-28T20:53:42
23,A,kahn,Kahn et al. (2021),ecs_central,3.0025,default,9,none,77.58626458215313,91.56506267579941,165.64202198156377,310.7103928883912,527.6170791749486,0.09999999999978541,0.23999999999993418,0.48483544376503723,1.0,1.5449239199669182,1.8798547415577387,2.2738822697394205,2.2789564969324347,6607.9393557669755,53755.27805464218,2120,1.1,2100,0.013127344551672719,0.019436196171464117,0.02843797317149414,3.1,ok,2026-07-28T20:53:45
